gene,score,category,rank,selected
gene_7,1.0,causal,1,True
gene_10,0.8722285517302556,causal,2,True
gene_74,0.0,noisy,3,False
gene_73,0.0,noisy,4,False
gene_72,0.0,noisy,5,False
gene_71,0.0,noisy,6,False
gene_70,0.0,noisy,7,False
gene_69,0.0,noisy,8,False
gene_68,0.0,noisy,9,False
gene_67,0.0,noisy,10,False
gene_66,0.0,noisy,11,False
gene_64,0.0,noisy,12,False
gene_63,0.0,noisy,13,False
gene_62,0.0,noisy,14,False
gene_61,0.0,noisy,15,False
gene_60,0.0,noisy,16,False
gene_59,0.0,noisy,17,False
gene_58,0.0,noisy,18,False
gene_57,0.0,noisy,19,False
gene_76,0.0,noisy,20,False
gene_77,0.0,noisy,21,False
gene_78,0.0,noisy,22,False
gene_88,0.0,confounding,23,False
gene_96,0.0,confounding,24,False
gene_94,0.0,confounding,25,False
gene_93,0.0,confounding,26,False
gene_92,0.0,confounding,27,False
gene_91,0.0,confounding,28,False
gene_90,0.0,confounding,29,False
gene_89,0.0,confounding,30,False
gene_87,0.0,confounding,31,False
gene_79,0.0,noisy,32,False
gene_86,0.0,confounding,33,False
gene_85,0.0,confounding,34,False
gene_84,0.0,confounding,35,False
gene_83,0.0,confounding,36,False
gene_82,0.0,confounding,37,False
gene_81,0.0,confounding,38,False
gene_80,0.0,confounding,39,False
gene_55,0.0,noisy,40,False
gene_54,0.0,noisy,41,False
gene_53,0.0,noisy,42,False
gene_11,0.0,causal,43,True
gene_27,0.0,noisy,44,True
gene_26,0.0,noisy,45,True
gene_25,0.0,noisy,46,True
gene_24,0.0,noisy,47,True
gene_23,0.0,noisy,48,True
gene_21,0.0,noisy,49,True
gene_12,0.0,causal,50,True
gene_9,0.0,causal,51,True
gene_29,0.0,noisy,52,True
gene_8,0.0,causal,53,True
gene_6,0.0,causal,54,True
gene_5,0.0,causal,55,True
gene_3,0.0,causal,56,True
gene_2,0.0,causal,57,True
gene_1,0.0,causal,58,True
gene_0,0.0,causal,59,True
gene_28,0.0,noisy,60,True
gene_30,0.0,noisy,61,True
gene_52,0.0,noisy,62,False
gene_42,0.0,noisy,63,False
gene_51,0.0,noisy,64,False
gene_50,0.0,noisy,65,False
gene_48,0.0,noisy,66,False
gene_46,0.0,noisy,67,False
gene_45,0.0,noisy,68,False
gene_44,0.0,noisy,69,False
gene_43,0.0,noisy,70,False
gene_41,0.0,noisy,71,True
gene_32,0.0,noisy,72,True
gene_40,0.0,noisy,73,True
gene_39,0.0,noisy,74,True
gene_38,0.0,noisy,75,True
gene_37,0.0,noisy,76,True
gene_36,0.0,noisy,77,True
gene_35,0.0,noisy,78,True
gene_33,0.0,noisy,79,True
gene_99,0.0,confounding,80,False
